Prefix,Number,Course Title,Section,CRN,Semester,UID,Name,Registration,Date,Midterm,Final,Grade Mode,Credits,Final Grade Entered,Passing,Passing Override
TPA,2290,Technical Theatre Practicum 1,,,,U00000001,Student 1,,,,S,S,1,Y,c,
TPA,2290,Technical Theatre Practicum 1,,,,U00000001,Student 1,,,,S,S,1,Y,c,
TPP,4193,Rehearsal and Performance Practicum 2,,,,U00000001,Student 1,,,,S,S,1,Y,c,
TPA,4293,Technical Theatre Practicum 2,,,,U00000001,Student 1,,,,S,S,1,Y,c,
TPA,2290,Technical Theatre Practicum 1,,,,U00000003,Student 3,,,,S,S,1,Y,c,
TPA,2290,Technical Theatre Practicum 1,,,,U00000003,Student 3,,,,S,S,1,Y,c,
TPP,4193,Rehearsal and Performance Practicum 2,,,,U00000003,Student 3,,,,S,S,1,Y,c,
TPA,4293,Technical Theatre Practicum 2,,,,U00000003,Student 3,,,,S,S,1,Y,c,
TPA,2290,Technical Theatre Practicum 1,,,,U00000004,Student 4,,,,S,S,1,Y,c,
TPP,2190,Rehearsal and Performance Practicum 1,,,,U00000004,Student 4,,,,S,S,1,Y,c,
TPA,4293,Technical Theatre Practicum 2,,,,U00000004,Student 4,,,,,S,1,N,ip,
TPA,2290,Technical Theatre Practicum 1,,,,U00000005,Student 5,,,,S,S,1,Y,c,
TPA,2290,Technical Theatre Practicum 1,,,,U00000005,Student 5,,,,S,S,1,Y,c,
TPA,4293,Technical Theatre Practicum 2,,,,U00000005,Student 5,,,,,S,1,N,ip,
TPA,2290,Technical Theatre Practicum 1,,,,U00000007,Student 7,,,,S,S,1,Y,c,
TPA,2290,Technical Theatre Practicum 1,,,,U00000007,Student 7,,,,,S,1,N,ip,
TPA,2290,Technical Theatre Practicum 1,,,,U00000008,Student 8,,,,S,S,1,Y,c,
TPA,2290,Technical Theatre Practicum 1,,,,U00000008,Student 8,,,,S,S,1,Y,c,
TPA,4293,Technical Theatre Practicum 2,,,,U00000008,Student 8,,,,S,S,1,Y,c,
TPA,4293,Technical Theatre Practicum 2,,,,U00000008,Student 8,,,,S,S,1,Y,c,
TPA,2290,Technical Theatre Practicum 1,,,,U00000009,Student 9,,,,S,S,1,Y,c,
TPA,2290,Technical Theatre Practicum 1,,,,U00000009,Student 9,,,,S,S,1,Y,c,
TPP,4193,Rehearsal and Performance Practicum 2,,,,U00000009,Student 9,,,,,S,1,N,ip,
TPA,2290,Technical Theatre Practicum 1,,,,U00000010,Student 10,,,,S,S,1,Y,c,
TPP,2190,Rehearsal and Performance Practicum 1,,,,U00000010,Student 10,,,,S,S,1,Y,c,
TPA,4293,Technical Theatre Practicum 2,,,,U00000010,Student 10,,,,S,S,1,Y,c,
TPA,4293,Technical Theatre Practicum 2,,,,U00000010,Student 10,,,,S,S,1,Y,c,
TPP,2190,Rehearsal and Performance Practicum 1,,,,U00000011,Student 11,,,,,S,1,N,ip,
TPA,2290,Technical Theatre Practicum 1,,,,U00000012,Student 12,,,,S,S,1,Y,c,
TPA,2290,Technical Theatre Practicum 1,,,,U00000012,Student 12,,,,S,S,1,Y,c,
TPP,4193,Rehearsal and Performance Practicum 2,,,,U00000012,Student 12,,,,S,S,1,Y,c,
TPA,4293,Technical Theatre Practicum 2,,,,U00000012,Student 12,,,,,S,1,N,ip,
TPA,2290,Technical Theatre Practicum 1,,,,U00000013,Student 13,,,,S,S,1,Y,c,
TPA,2290,Technical Theatre Practicum 1,,,,U00000013,Student 13,,,,,S,1,N,ip,
TPA,2290,Technical Theatre Practicum 1,,,,U00000015,Student 15,,,,S,S,1,Y,c,
TPA,2290,Technical Theatre Practicum 1,,,,U00000015,Student 15,,,,,S,1,N,ip,
TPA,2290,Technical Theatre Practicum 1,,,,U00000016,Student 16,,,,S,S,1,Y,c,
TPA,2290,Technical Theatre Practicum 1,,,,U00000016,Student 16,,,,S,S,1,Y,c,
TPA,4293,Technical Theatre Practicum 2,,,,U00000016,Student 16,,,,S,S,1,Y,c,
TPA,4293,Technical Theatre Practicum 2,,,,U00000016,Student 16,,,,,S,1,N,ip,
TPP,2190,Rehearsal and Performance Practicum 1,,,,U00000017,Student 17,,,,,S,1,N,ip,
TPA,2290,Technical Theatre Practicum 1,,,,U00000018,Student 18,,,,S,S,1,Y,c,
TPA,2290,Technical Theatre Practicum 1,,,,U00000018,Student 18,,,,S,S,1,Y,c,
TPA,4293,Technical Theatre Practicum 2,,,,U00000018,Student 18,,,,S,S,1,Y,c,
TPA,4293,Technical Theatre Practicum 2,,,,U00000018,Student 18,,,,,S,1,N,ip,
TPA,2290,Technical Theatre Practicum 1,,,,U00000019,Student 19,,,,S,S,1,Y,c,
