Prefix,Number,Course Title,Section,CRN,Semester,UID,Name,Registration,Date,Midterm,Final,Grade Mode,Credits,Final Grade Entered,Passing,Passing Override
TPA,2200,Introduction to Technical Theatre,,,,U00000001,Student 1,,,,A,R,3,Y,c,
TPA,2200L,Intro to Technical Theatre Lab,,,,U00000001,Student 1,,,,A,R,1,Y,c,
TPA,3007C,Introduction to Entertainment Design,,,,U00000001,Student 1,,,,A,R,3,Y,c,
TPA,2200,Introduction to Technical Theatre,,,,U00000002,Student 2,,,,,R,3,N,ip,
TPA,2200L,Intro to Technical Theatre Lab,,,,U00000002,Student 2,,,,,R,1,N,ip,
TPA,2200,Introduction to Technical Theatre,,,,U00000003,Student 3,,,,A-,R,3,Y,c,
TPA,2200L,Intro to Technical Theatre Lab,,,,U00000003,Student 3,,,,B,R,1,Y,c,
TPA,3007C,Introduction to Entertainment Design,,,,U00000003,Student 3,,,,A+,R,3,Y,c,
TPA,2200,Introduction to Technical Theatre,,,,U00000004,Student 4,,,,A,R,3,Y,c,
TPA,2200L,Intro to Technical Theatre Lab,,,,U00000004,Student 4,,,,A,R,1,Y,c,
TPA,3007C,Introduction to Entertainment Design,,,,U00000004,Student 4,,,,A-,R,3,Y,c,
TPA,2200,Introduction to Technical Theatre,,,,U00000005,Student 5,,,,B-,R,3,Y,c,
TPA,2200L,Intro to Technical Theatre Lab,,,,U00000005,Student 5,,,,B-,R,1,Y,c,
TPA,3007C,Introduction to Entertainment Design,,,,U00000005,Student 5,,,,C+,R,3,Y,c,
TPA,2200,Introduction to Technical Theatre,,,,U00000006,Student 6,,,,,R,3,N,ip,
TPA,2200L,Intro to Technical Theatre Lab,,,,U00000006,Student 6,,,,,R,1,N,ip,
TPA,2200,Introduction to Technical Theatre,,,,U00000007,Student 7,,,,,R,3,N,ip,
TPA,2200L,Intro to Technical Theatre Lab,,,,U00000007,Student 7,,,,,R,1,N,ip,
TPA,2200,Introduction to Technical Theatre,,,,U00000008,Student 8,,,,A,R,3,Y,c,
TPA,2200L,Intro to Technical Theatre Lab,,,,U00000008,Student 8,,,,C+,R,1,Y,c,
