Term,Term Description,Last Name,First Name,UID,Count,Email,Camp,Coll,Dep 1,Levl,Prim Majr1,Prim Majr2,Seco Majr1,Seco Majr2,Minr1,Minr2,Prim Conc,Prim Conc2,Seco Conc,Seco Conc2,Class,Admit Term,Enrolled [Y/N],Stu Type,Student Type Description,Student Attribute,USF Earned Hours,Overall Earned Hours,USF GPA,Theatre Major,Theatre Conc
202608,Fall 2026,Student 1,Student 1,U00000001,1,,T,DP,TRD,UG,MTR,,,,,,,,,,4,202305,Y,B,"Beginner,First time in college",,90,107,3.8,MTR,
202608,Fall 2026,Student 2,Student 2,U00000002,1,,T,DP,TRD,UG,TAR,,,,,,TAA,,,,1,202608,Y,B,"Beginner,First time in college",,0,8,3.33,TAR,TAA
202608,Fall 2026,Student 3,Student 3,U00000003,1,,T,DP,TRD,UG,TAR,,,,,,TAP,,,,3,202401,Y,B,"Beginner,First time in college",,81,81,3.39,TAR,TAP
202608,Fall 2026,Student 4,Student 4,U00000004,1,,T,DP,TRD,UG,MTR,,,,,,,,,,2,202501,Y,B,"Beginner,First time in college",,45,45,3.45,MTR,
202608,Fall 2026,Student 5,Student 5,U00000005,1,,T,DP,TRD,UG,TAR,,,,,,TAP,,,,4,202501,Y,J,Transfer from FL Comm. College,,36,100,3.43,TAR,TAP
202608,Fall 2026,Student 6,Student 6,U00000006,1,,T,DP,TRD,UG,MTR,,,,,,,,,,1,202608,Y,B,"Beginner,First time in college",,0,3,3.43,MTR,
202608,Fall 2026,Student 7,Student 7,U00000007,1,,T,DP,TRD,UG,MTR,,,,,,,,,,2,202505,Y,B,"Beginner,First time in college",,24,57,3.43,MTR,
202608,Fall 2026,Student 8,Student 8,U00000008,1,,T,DP,TRD,UG,TAR,,,,,,TAP,,,,3,202401,Y,B,"Beginner,First time in college",,70,70,3.44,TAR,TAP
202608,Fall 2026,Student 9,Student 9,U00000009,1,,T,DP,TRD,UG,TAR,,,,,,TAP,,,,4,202501,Y,J,Transfer from FL Comm. College,,35,106,3.5,TAR,TAP
202608,Fall 2026,Student 10,Student 10,U00000010,1,,T,DP,TRD,UG,MTR,,,,,,,,,,4,202301,Y,B,"Beginner,First time in college",,92,96,3.52,MTR,
202608,Fall 2026,Student 11,Student 11,U00000011,1,,T,DP,TRD,UG,TAR,,,,,,TAP,,,,1,202601,Y,J,Transfer from FL Comm. College,,11,11,3.52,TAR,TAP
202608,Fall 2026,Student 12,Student 12,U00000012,1,,T,DP,TRD,UG,TAR,,,,,,TAA,,,,3,202408,Y,B,"Beginner,First time in college",,46,87,3.51,TAR,TAA
202608,Fall 2026,Student 13,Student 13,U00000013,1,,T,DP,TRD,UG,TAR,,,,,,TAA,,,,4,202508,Y,J,Transfer from FL Comm. College,,26,96,3.52,TAR,TAA
202608,Fall 2026,Student 14,Student 14,U00000014,1,,T,DP,TRD,UG,TAR,,,,,,TAA,,,,1,202608,Y,B,"Beginner,First time in college",,0,12,3.5,TAR,TAA
202608,Fall 2026,Student 15,Student 15,U00000015,1,,T,DP,TRD,UG,TAR,,,,,,TAA,,,,4,202508,Y,J,Transfer from FL Comm. College,,24,117,3.48,TAR,TAA
